,connaissance_marche,tolerance_risque,objectif_investissement,situation_patrimoniale,horizon,temps_disponible,mode_gestion
420,35.0,45.0,36.0,75.0,5.0,10.0,0.0
421,25.0,25.0,30.0,75.0,5.0,10.0,0.0
422,35.0,60.0,30.0,150.0,5.0,10.0,0.0
423,30.0,45.0,20.0,90.0,5.0,5.0,0.0
424,30.0,30.0,25.0,150.0,5.0,10.0,0.0
425,30.0,30.0,25.0,150.0,5.0,10.0,0.0
426,25.0,45.0,30.0,90.0,5.0,10.0,0.0
427,30.0,35.0,26.0,75.0,20.0,10.0,0.0
428,30.0,50.0,30.0,75.0,10.0,10.0,0.0
429,30.0,40.0,55.0,75.0,10.0,10.0,0.0
430,45.0,45.0,30.0,75.0,15.0,10.0,0.0
431,30.0,30.0,20.0,75.0,5.0,10.0,0.0
432,30.0,35.0,20.0,75.0,5.0,10.0,0.0
433,20.0,10.0,30.0,90.0,10.0,10.0,5.0
434,30.0,60.0,26.0,90.0,20.0,10.0,15.0
435,35.0,55.0,60.0,75.0,20.0,10.0,0.0
436,55.0,40.0,30.0,75.0,10.0,10.0,0.0
437,50.0,85.0,30.0,90.0,10.0,10.0,15.0
438,20.0,30.0,40.0,75.0,5.0,10.0,5.0
439,30.0,45.0,25.0,75.0,20.0,10.0,0.0
440,30.0,60.0,30.0,75.0,10.0,10.0,0.0
441,50.0,70.0,26.0,75.0,10.0,10.0,15.0
442,27.0,30.0,20.0,75.0,5.0,10.0,0.0
443,35.0,55.0,25.0,75.0,20.0,10.0,0.0
444,40.0,45.0,25.0,75.0,10.0,10.0,0.0
445,55.0,75.0,30.0,75.0,15.0,10.0,10.0
446,30.0,45.0,30.0,90.0,5.0,10.0,0.0
447,15.0,35.0,30.0,75.0,10.0,10.0,0.0
448,45.0,50.0,26.0,75.0,10.0,10.0,10.0
449,35.0,45.0,30.0,75.0,5.0,10.0,0.0
450,30.0,45.0,20.0,75.0,20.0,10.0,0.0
451,40.0,25.0,30.0,75.0,10.0,10.0,0.0
452,25.0,47.0,50.0,75.0,5.0,10.0,0.0
453,20.0,25.0,20.0,75.0,5.0,10.0,0.0
454,40.0,50.0,20.0,150.0,5.0,10.0,0.0
455,40.0,30.0,30.0,75.0,10.0,10.0,0.0
456,35.0,45.0,30.0,75.0,5.0,10.0,0.0
457,25.0,30.0,25.0,75.0,5.0,10.0,0.0
458,35.0,25.0,20.0,75.0,5.0,10.0,0.0
459,30.0,65.0,20.0,75.0,15.0,10.0,10.0
460,20.0,45.0,20.0,75.0,10.0,10.0,5.0
